X,Y,Type
-10.0687,76.8006,muon
-10.0687,76.8006,total
54.5516,-16.3384,muon
54.5516,-16.3384,total
-459.252,19.9921,muon
-459.252,19.9921,total
-387.179,-183.502,muon
-387.179,-183.502,total
90.01,18.2221,muon
90.01,18.2221,total
-204.143,37.5337,muon
-204.143,37.5337,total
-1312.03,-624.812,muon
-1312.03,-624.812,total
105.971,53.5845,muon
105.971,53.5845,total
695.148,56.0015,muon
695.148,56.0015,total
33.3004,-42.273,muon
33.3004,-42.273,total
282.024,-169.56,muon
282.024,-169.56,total
-907.575,21.9313,muon
-907.575,21.9313,total
-20.5812,-51.3529,muon
-20.5812,-51.3529,total
940.672,-421.894,muon
940.672,-421.894,total
124.127,501.048,muon
124.127,501.048,total
-166.065,-42.8545,muon
-166.065,-42.8545,total
620.873,-141.98,muon
620.873,-141.98,total
1426.02,394.365,muon
1426.02,394.365,total
454.959,439.908,muon
454.959,439.908,total
93.8873,472.843,muon
93.8873,472.843,total
-97.2408,-53.5704,muon
-97.2408,-53.5704,total
-98.0918,-97.4731,muon
-98.0918,-97.4731,total
1393.14,-723.947,muon
1393.14,-723.947,total
145.551,-69.9542,muon
145.551,-69.9542,total
50.3547,-122.82,muon
50.3547,-122.82,total
-579.985,465.842,muon
-579.985,465.842,total
185.709,-325.888,muon
185.709,-325.888,total
239.392,-105.845,muon
239.392,-105.845,total
-154.806,12.0215,muon
-154.806,12.0215,total
249.645,-184.473,muon
249.645,-184.473,total
11.1416,70.9649,muon
11.1416,70.9649,total
-280.594,29.7187,muon
-280.594,29.7187,total
-1583.2,1430.44,muon
-1583.2,1430.44,total
337.083,196.879,muon
337.083,196.879,total
-87.3531,-12.5822,muon
-87.3531,-12.5822,total
-725.385,-1235.4,muon
-725.385,-1235.4,total
723.112,-1478.09,muon
723.112,-1478.09,total
27.4868,-83.9121,muon
27.4868,-83.9121,total
-247.539,51.5024,muon
-247.539,51.5024,total
-47.8192,23.8905,muon
-47.8192,23.8905,total
-404.092,-78.623,muon
-404.092,-78.623,total
294.816,729.499,muon
294.816,729.499,total
-96.5951,-47.9641,muon
-96.5951,-47.9641,total
115.628,-24.963,muon
115.628,-24.963,total
152.832,133.298,muon
152.832,133.298,total
239.325,24.9965,muon
239.325,24.9965,total
548.946,-9.54665,electron
548.946,-9.54665,total
-314.721,-101.271,muon
-314.721,-101.271,total
-83.1789,-45.7792,muon
-83.1789,-45.7792,total
-351.798,-197.752,muon
-351.798,-197.752,total
24.5388,64.3135,muon
24.5388,64.3135,total
220.814,294.863,muon
220.814,294.863,total
275.95,-400.36,muon
275.95,-400.36,total
97.7025,-25.7275,muon
97.7025,-25.7275,total
10.3859,-44.0493,muon
10.3859,-44.0493,total
-53.9326,-6.26177,muon
-53.9326,-6.26177,total
65.6459,75.8003,muon
65.6459,75.8003,total
-163.784,37.4253,muon
